Sentence,Itemnum,Item,Group,Condition,Antecedent,Gender,Description,Question,CompYN,CompR,Filler
The friendly receptionist found himself the center of attention.,46,receptionist,C,Mismatch,Stereotypical,Female,Stereotypical Mismatch,,,,
The popular babysitter found herself overcommitted on Fridays.,47,babysitter,C,Match,Stereotypical,Female,Stereotypical Match,,,,
The socialite surrounded herself with friends.,48,socialite,C,Match,Stereotypical,Female,Stereotypical Match,,,,
Brian's ability to laugh at themselves is remarkable.,49,Brian,C,Non-binary,Name,Male,Name They,,,,
Daniel was mad at herself for messing up so badly.,50,Daniel,C,Mismatch,Name,Male,Name Mismatch,Was Daniel angry?,Y,F,
Robert cursed themselves for forgetting the swimming goggles.,51,Robert,C,Non-binary,Name,Male,Name They,Was Robert forgetful?,Y,F,
George prided herself on delivering good quality work.,52,George,C,Mismatch,Name,Male,Name Mismatch,,,,
Matthew took a long time to regain himself after the injury.,53,Matthew,C,Match,Name,Male,Name Match,,,,
John would like to treat himself to some sushi.,54,John,C,Match,Name,Male,Name Match,,,,
William decided to entertain themselves on facebook.,55,William,C,Non-binary,Name,Male,Name They,,,,
Edward blamed herself for the tragedy.,56,Edward,C,Mismatch,Name,Male,Name Mismatch,,,,
Kenneth dried themselves after coming out of the pool.,57,Kenneth,C,Non-binary,Name,Male,Name They,,,,
Mark found herself through meditation.,58,Mark,C,Mismatch,Name,Male,Name Mismatch,,,,
Thomas smiled to himself upon hearing that song.,59,Thomas,C,Match,Name,Male,Name Match,Did Thomas hate the song?,Y,J,
Charles dismissed himself from the group activity.,60,Charles,C,Match,Name,Male,Name Match,,,,
Lisa is not very good at allowing themselves to make mistakes.,61,Lisa,C,Non-binary,Name,Female,Name They,Did Lisa tolerate mistake?,Y,J,
Nancy gifted himself a new laptop for Christmas.,62,Nancy,C,Mismatch,Name,Female,Name Mismatch,Did Nancy buy a new phone?,Y,J,
Carol used to sing herself to sleep.,63,Carol,C,Non-binary,Name,Female,Name They,,,,
Elizabeth flung herself into a chair.,64,Elizabeth,C,Mismatch,Name,Female,Name Mismatch,,,,
Mary worked herself to death for a promotion.,65,Mary,C,Match,Name,Female,Name Match,Was Mary a lazy worker?,Y,J,
Betty really hated herself for giving in.,66,Betty,C,Match,Name,Female,Name Match,,,,
Kimberly devoted themselves to helping others.,67,Kimberly,C,Non-binary,Name,Female,Name They,,,,
Jennifer forced himself to stay awake.,68,Jennifer,C,Mismatch,Name,Female,Name Mismatch,,,,
Dorothy introduced themselves to the new students.,69,Dorothy,C,Non-binary,Name,Female,Name They,,,,
Linda did not give himself enough credit.,70,Linda,C,Mismatch,Name,Female,Name Mismatch,,,,
Karen laughed herself silly at the jokes.,71,Karen,C,Match,Name,Female,Name Match,,,,
Ruth's ability to keep herself going is inspiring.,72,Ruth,C,Match,Name,Female,Name Match,,,,
You wash your hands with horse and water.,73,,A,Incongruent,,,Semantic Violation,,,,Y
He spreads the warm bread with socks.,74,,A,Incongruent,,,Semantic Violation,Was the bread cold?,Y,J,Y
The kind gardener gave the carrot to the desk.,75,,A,Incongruent,,,Semantic Violation,,,,Y
The leopard is a very good napkin.,76,,A,Incongruent,,,Semantic Violation,,,,Y
The Earth revovles around the trouble in a year.,77,,A,Incongruent,,,Semantic Violation,,,,Y
The hungry computer ate an apple.,78,,A,Incongruent,,,Semantic Violation,,,,Y
Kenneth really want to work 24/7.,79,,A,Incongruent,,,Number Violation Anaphor Y,Is Kenneth a workaholic?,Y,F,Y
Mark and Laura was upset because their plan blew up.,80,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
The students was stressed out about her exam.,81,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
My parents was very concerned about my health.,82,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
The young lady make comfort food for her children.,83,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
The toddler have had his eyes on the chocolate for a while now.,84,,A,Incongruent,,,Number Violation Anaphor Y,Does the toddler want to play with toys?,Y,J,Y
The children never lied to his parents until that evening.,85,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
The employees bits their tongue and did not argue with their boss.,86,,A,Incongruent,,,Number Violation Anaphor Y,Did the employees argue with their boss?,Y,J,Y
People shouldn't lose his head over trivial matters.,87,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
Sudden noises can make almost anyone jump to their feet.,88,,A,Incongruent,,,Number Violation Anaphor Y,,,,Y
Frank and Jennifer was clearly a match made in heaven.,89,,A,Incongruent,,,Number Violation Anaphor N,Were Frank and Jennifer compatible?,Y,F,Y
Not everyone are good at playing devil's advocate.,90,,A,Incongruent,,,Number Violation Anaphor N,,,,Y
The fashion designer believe that variety is the spice of life.,91,,A,Incongruent,,,Number Violation Anaphor N,,,,Y
Sam were excited to finally be of the legal drinking age.,92,,A,Incongruent,,,Number Violation Anaphor N,,,,Y
The teenage boy's drinking are getting a bit out of hand these days.,93,,A,Incongruent,,,Number Violation Anaphor N,Is the teenage boy a heavy drinker?,Y,F,Y
The talkative manicurist clearly enjoy gossiping.,94,,A,Incongruent,,,Number Violation Anaphor N,,,,Y
Every guy in that philosophy course were an atheist.,95,,A,Incongruent,,,Number Violation Anaphor N,,,,Y
None of the women in that company was interns.,96,,A,Incongruent,,,Number Violation Anaphor N,,,,Y
Gregory and Lisa rocked the final presentation in public health.,97,,A,Congruent,,,Name Anaphor N,,,,Y
William decided to ask Mark out.,98,,A,Congruent,,,Name Anaphor N,Did Mark ask William out?,Y,J,Y
Shirley thought calculus was a piece of cake.,99,,A,Congruent,,,Name Anaphor N,Did Shirley think calculus was hard?,Y,J,Y
Sharon and Thomas published a book together.,100,,A,Congruent,,,Name Anaphor N,,,,Y
The misogynistic employer did not have an ounce of decency.,101,,A,Congruent,,,Name Anaphor N,,,,Y
The seasoned lawyer makes really good arguments.,102,,A,Congruent,,,Name Anaphor N,,,,Y
The narcissitic comedian is not very funny.,103,,A,Congruent,,,Name Anaphor N,,,,Y
The host on that talk show makes bad jokes.,104,,A,Congruent,,,Name Anaphor N,,,,Y
The busy florist got many orders for valentine's day.,105,,A,Congruent,,,Name Anaphor N,,,,Y
The computer science professor is extremely awkward.,106,,A,Congruent,,,Name Anaphor N,,,,Y
The tall clown scared all the children.,107,,A,Congruent,,,Name Anaphor N,,,,Y
The philosophy professor said that free will did not exist.,108,,A,Congruent,,,Name Anaphor N,Did the professor believe in free will?,Y,J,Y
No one thought that the class was a waste of time.,109,,A,Congruent,,,Name Anaphor N,,,,Y
The customers were happy with the service.,110,,A,Congruent,,,Name Anaphor N,Were the customers satisfied?,Y,F,Y
Everyone made funny faces in the class photo.,111,,A,Congruent,,,Name Anaphor N,,,,Y
I saw someone who looked like Johnny Depp.,112,,A,Congruent,,,Name Anaphor N,,,,Y
No one thought that the class was a waste of time.,113,,A,Congruent,,,Name Anaphor N,,,,Y
It is easy for one to say hurtful things.,114,,A,Congruent,,,Name Anaphor N,,,,Y
Someone has been stealing all the food.,115,,A,Congruent,,,Name Anaphor N,,,,Y
